Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.21676946591420276,False,0.34137057050895625,False,0.06646825396825397
1,False,0.4848730742909087,False,0.5915031891942275,False,0.4848730742909087,False,0.7806813782423538,False,0.696923076923077,False,0.8
2,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.5233333333333333,False,0.45,False,0.38333333333333336
3,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.20184420116041055,False,0.39221979915083854,False,0.08899461405546598
4,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.44824561403508767,False,0.6083333333333334,False,0.4151315789473684
5,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.4276714505202877,False,0.3918305631534006,False,0.5
6,False,0.4552693589742472,False,0.5467433821532615,False,0.4552693589742472,False,0.22490708404343182,False,0.8727272727272727,False,0.5533333333333333
7,False,0.4552693589742472,False,0.5902304945136372,False,0.4552693589742472,False,1.0,False,0.9333333333333332,False,0.8181818181818181
8,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.22908747869529705,False,0.36971098313399964,False,0.0
9,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.21566647759500848,False,0.3500153369312711,False,0.34833561778723066
10,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.19097301446894324,False,0.3828120677171832,False,0.0
11,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.47714285714285715,False,0.31617501587898794,False,0.25
12,False,0.6003247901800716,False,0.4962110791965887,False,0.6003247901800716,False,0.6744118381618381,False,0.3402039032396176,False,0.6544688644688644
13,False,0.6003247901800716,False,0.5902304945136372,False,0.6003247901800716,False,0.7893398268398268,False,0.47119938658447785,False,0.9149999999999998
14,False,0.48283002248838486,False,0.5467433821532615,False,0.48283002248838486,False,0.9266666666666665,False,0.8466666666666667,False,0.9
15,False,0.4552693589742472,False,0.5902219860261608,False,0.4552693589742472,False,1.0,False,0.7,False,1.0
16,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.18195299101670798,False,0.34366354799233995,False,0.06275573883332504
17,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.22691354407531777,False,0.5992460317460317,False,0.5
18,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.2377722925708654,False,0.33929269292435127,False,0.0
19,False,0.4552693589742472,False,0.49621103786929077,False,0.4552693589742472,False,0.20366795366795368,False,0.5071428571428572,False,0.2698924731182796
20,False,0.6003247901800716,False,0.4962110791965887,False,0.6003247901800716,False,0.47000000000000003,False,0.3299236746437325,False,0.5285714285714286
21,False,0.4552693589742472,False,0.4962110791965887,False,0.4552693589742472,False,0.6404761904761904,False,0.34866460026036694,False,0.47000000000000003
22,False,0.4552693589742472,False,0.49621103786929077,False,0.4552693589742472,False,0.6769191919191919,False,0.539422514619883,False,0.9
23,False,0.4552693589742472,False,0.49621103786929077,False,0.4552693589742472,False,0.22716314151798023,False,0.5523503199586791,False,0.1
24,False,0.6003247901800716,False,0.5640836408911662,False,0.6003247901800716,False,0.875,False,0.865,False,1.0
