Fold,1_y_test,1_y_proba,3_y_test,3_y_proba,4_y_test,4_y_proba,,,,,,
,,,,,,,,,,,,
1,TRUE,0.317376846,TRUE,0.4174524059,TRUE,0.4174524059,,,,,,
,,,,,,,,,,,,
2,TRUE,0.5298582856,TRUE,0.4912833562,TRUE,0.5499308194,,,,,,
,,,,,,,,,,,,
3,TRUE,0.6899103279,TRUE,0.7390380669,TRUE,0.787024434,,,,,,
,,,,,,,,,,,,
4,TRUE,0.6899103279,TRUE,0.8711673251,TRUE,0.871552539,,,,,,
,,,,,,,,,,,,
5,TRUE,0.4381412515,TRUE,0.4098482793,TRUE,0.4213513044,,,,,,
,,,,,,,,,,,,
6,TRUE,0.6899103279,TRUE,0.560978873,TRUE,0.5240686385,,,,,,
,,,,,,,,,,,,
7,TRUE,0.6899103279,TRUE,0.55956226,TRUE,0.5240686385,,,,,,
,,,,,,,,,,,,
8,TRUE,0.6899103279,TRUE,0.6511973884,TRUE,0.7095197998,,,,,,
,,,,,,,,,,,,
9,TRUE,0.3261208241,TRUE,0.2854516702,TRUE,0.2861983566,,,,,,
,,,,,,,,,,,,
10,TRUE,0.6899103279,TRUE,0.6335308882,TRUE,0.6389877514,,,,,,
,,,,,,,,,,,,
11,TRUE,0.5298582856,TRUE,0.7879010887,TRUE,0.8135904586,,,,,,
,,,,,,,,,,,,
12,TRUE,0.3261208241,TRUE,0.6091581698,TRUE,0.5725855053,,,,,,
,,,,,,,,,,,,
13,TRUE,0.6899103279,TRUE,0.560978873,TRUE,0.5588247437,,,,,,
,,,,,,,,,,,,
14,TRUE,0.6899103279,TRUE,0.8352115894,TRUE,0.871552539,,,,,,
,,,,,,,,,,,,
15,TRUE,0.3261208241,TRUE,0.2942435064,TRUE,0.2944767685,,,,,,
,,,,,,,,,,,,
16,TRUE,0.317376846,TRUE,0.4098482793,TRUE,0.4213513044,,,,,,
,,,,,,,,,,,,
17,TRUE,0.5298582856,TRUE,0.4250220195,TRUE,0.4362836129,,,,,,
,,,,,,,,,,,,
18,TRUE,0.6899103279,TRUE,0.6335308882,TRUE,0.6389877514,,,,,,
,,,,,,,,,,,,
19,TRUE,0.3419758708,TRUE,0.3700952161,TRUE,0.3700952161,,,,,,
,,,,,,,,,,,,
20,TRUE,0.4555040348,TRUE,0.3550077172,TRUE,0.3711728901,,,,,,
,,,,,,,,,,,,
21,TRUE,0.5050497803,TRUE,0.560978873,TRUE,0.5588247437,,,,,,
,,,,,,,,,,,,
