Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.3173768459818547,True,0.417452405909951,True,0.417452405909951,True,0.0,True,0.2,True,0.6
1,True,0.5298582856196627,True,0.49128335621377056,True,0.5499308193774031,True,0.6,True,0.4,True,0.4
2,True,0.6899103279063041,True,0.7390380668721741,True,0.7870244340229382,True,1.0,True,1.0,True,0.9
3,True,0.6899103279063041,True,0.8711673251288325,True,0.871552538962338,True,0.3,True,0.8,True,1.0
4,True,0.43814125153439754,True,0.4098482793122698,True,0.4213513044095572,True,0.4,True,0.6,True,0.8
5,True,0.6899103279063041,True,0.5609788730210511,True,0.5240686384707978,True,0.4,True,0.6,True,0.6
6,True,0.6899103279063041,True,0.5595622599681969,True,0.5240686384707978,True,0.9,True,0.6,True,0.4
7,True,0.6899103279063041,True,0.6511973883944142,True,0.7095197998458462,True,1.0,True,0.7,True,0.7
8,True,0.32612082412877486,True,0.2854516702108571,True,0.2861983565634372,True,0.3,True,0.1,True,0.0
9,True,0.6899103279063041,True,0.6335308881617046,True,0.6389877514081718,True,1.0,True,0.7,True,0.9
10,True,0.5298582856196627,True,0.7879010887185512,True,0.8135904586381961,True,0.4,True,1.0,True,0.7
11,True,0.32612082412877486,True,0.6091581698057704,True,0.5725855053349325,True,0.0,True,0.8,True,0.8
12,True,0.689910327906304,True,0.5609788730210511,True,0.5588247437298919,True,1.0,True,0.4,True,0.6
13,True,0.689910327906304,True,0.8352115893706428,True,0.8715525389623382,True,1.0,True,0.9,True,0.9
14,True,0.32612082412877486,True,0.294243506371916,True,0.29447676850899496,True,1.0,True,0.5,True,0.4
15,True,0.31737684598185467,True,0.4098482793122698,True,0.4213513044095572,True,0.0,True,0.3,True,0.4
16,True,0.5298582856196627,True,0.4250220195193812,True,0.43628361286035455,True,1.0,True,0.3,True,0.2
17,True,0.689910327906304,True,0.6335308881617046,True,0.6389877514081717,True,1.0,True,0.7,True,0.8
18,True,0.34197587084782494,True,0.37009521609058144,True,0.37009521609058144,True,0.3,True,0.9,True,0.7
19,True,0.45550403479837853,True,0.3550077171703264,True,0.37117289013262283,True,0.3,True,0.4,True,0.3
20,True,0.5050497802982944,True,0.5609788730210511,True,0.5588247437298919,True,0.4,True,0.9,True,0.3
21,True,0.32612082412877486,True,0.6091581698057704,True,0.5725855053349325,True,0.7,True,0.9,True,0.5
22,True,0.3173768459818547,True,0.6091581698057704,True,0.6755716956614026,True,0.0,True,0.5,True,0.5
23,True,0.689910327906304,True,0.5863575512761219,True,0.6849842327024316,True,0.2,True,0.6,True,1.0
24,True,0.689910327906304,True,0.5863575512761219,True,0.6849842327024316,True,1.0,True,0.6,True,1.0
