Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
1.0,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,1.0,True,0.8,True,0.5
2.0,True,0.4508500413321223,True,0.3749272406869343,True,0.44319805725067357,True,0.3,True,0.0,True,0.1
3.0,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.5589285714285714,True,0.5000793650793651,True,0.8
4.0,True,0.532491993568256,True,0.538317429471635,True,0.564963766839801,True,0.9,True,0.8333333333333334,True,0.9
5.0,True,0.5431508375709527,True,0.538317429471635,True,0.4813442528964795,True,0.15,True,0.12,True,0.4
6.0,True,0.45165690574598877,True,0.538317429471635,True,0.564963766839801,True,0.4,True,0.5,True,0.7
7.0,True,0.5184441747777975,True,0.538317429471635,True,0.564963766839801,True,0.71,True,0.7,True,0.7
8.0,True,0.5431508375709528,True,0.538317429471635,True,0.564963766839801,True,0.5706349206349207,True,0.6016666666666667,True,0.8
9.0,True,0.5431508375709528,True,0.538317429471635,True,0.4813442528964795,True,0.5641269841269841,True,0.6695238095238094,True,0.1
10.0,True,0.509460395326064,True,0.538317429471635,True,0.564963766839801,True,0.7,True,0.6,True,0.6
11.0,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,1.0,True,0.975,True,0.9
12.0,True,0.509460395326064,True,0.538317429471635,True,0.4813442528964795,True,0.6266666666666667,True,0.5625,True,0.5
13.0,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,1.0,True,0.8,True,0.9
14.0,True,0.5184441747777975,True,0.538317429471635,True,0.564963766839801,True,0.5,True,0.2,True,0.2
15.0,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.3,True,0.8,True,0.4
16.0,True,0.509460395326064,True,0.538317429471635,True,0.4813442528964795,True,0.6,True,0.7,True,0.4
17.0,True,0.5431508375709527,True,0.538317429471635,True,0.564963766839801,True,0.6,True,1.0,True,1.0
18.0,True,0.4539967448282896,True,0.538317429471635,True,0.564963766839801,True,0.1,True,0.3,True,0.9
19.0,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.4,True,0.6545454545454545,True,0.2
20.0,True,0.49994102473192875,True,0.4849377640803786,True,0.46247031157298746,True,0.1,True,0.4,True,0.2
21.0,True,0.4479633345574696,True,0.3749272406869343,True,0.3749272406869343,True,0.3,True,0.1,True,0.3
22.0,True,0.4523595958338173,True,0.538317429471635,True,0.4813442528964795,True,0.2,True,0.6666666666666667,True,0.4
