Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.5155465228775322,True,0.5346319017523109,True,0.4905997544261678,True,0.7,True,0.3,True,0.7
1,True,0.5155465228775322,True,0.4292635215720327,True,0.42207358070680284,True,0.7,True,0.9,True,0.4
2,True,0.5155465228775322,True,0.5346319017523109,True,0.557616625968816,True,0.7,True,0.6,True,0.6
3,True,0.5922851403055884,True,0.5413741478913441,True,0.557616625968816,True,0.9,True,0.8,True,0.9
4,True,0.5155465228775322,True,0.4541618108142125,True,0.4482152077968368,True,0.9,True,0.5,True,0.5
5,True,0.5155465228775322,True,0.5346319017523109,True,0.557616625968816,True,0.8,True,0.6,True,0.8
6,True,0.5155465228775322,True,0.5346319017523109,True,0.557616625968816,True,0.6,True,0.5,True,0.6
7,True,0.5922851403055884,True,0.5413741478913441,True,0.557616625968816,True,0.9,True,0.8,True,0.6
8,True,0.5155465228775322,True,0.5346319017523109,True,0.4905997544261678,True,0.8,True,0.5,True,0.6
9,True,0.5155465228775322,True,0.5346319017523109,True,0.5346319017523109,True,0.5,True,0.7,True,0.7
10,True,0.5155465228775322,True,0.5346319017523109,True,0.5275066450922424,True,0.5,True,0.4,True,0.6
11,True,0.5155465228775322,True,0.5346319017523109,True,0.4905997544261678,True,0.6,True,0.4,True,0.3
12,True,0.5922851403055884,True,0.5413741478913441,True,0.557616625968816,True,0.7,True,0.8,True,0.8
13,True,0.5540298290804697,True,0.5413741478913441,True,0.557616625968816,True,0.5,True,0.4,True,0.2
14,True,0.5035994527909227,True,0.5346319017523109,True,0.4905997544261678,True,0.8,True,0.5,True,0.7
15,True,0.5155465228775322,True,0.5346319017523109,True,0.4905997544261678,True,0.6,True,0.8,True,0.7
16,True,0.5155465228775322,True,0.5346319017523109,True,0.5275066450922424,True,0.5,True,0.9,True,0.7
17,True,0.5155465228775322,True,0.5346319017523109,True,0.557616625968816,True,0.7,True,0.7,True,0.6
18,True,0.5155465228775322,True,0.5346319017523109,True,0.5074760612532071,True,0.9,True,0.7,True,0.8
19,True,0.5155465228775322,True,0.5346319017523109,True,0.5074760612532071,True,0.4,True,0.5,True,0.1
20,True,0.5035994527909227,True,0.3911539857521443,True,0.3911539857521443,True,0.6,True,0.1,True,0.1
21,True,0.5155465228775322,True,0.5346319017523109,True,0.4905997544261678,True,0.7,True,0.7,True,0.6
22,True,0.5035994527909227,True,0.4292635215720327,True,0.3972841430306713,True,0.6,True,0.3,True,0.5
23,True,0.5922851403055884,True,0.5413741478913441,True,0.557616625968816,True,0.7,True,0.6,True,0.7
24,True,0.5922851403055884,True,0.5413741478913441,True,0.557616625968816,True,0.6,True,0.7,True,0.6
25,True,0.5155465228775322,True,0.5346319017523109,True,0.5275066450922423,True,0.7,True,0.6,True,0.6
26,True,0.490547572014698,True,0.5285577711343329,True,0.48049932778597787,True,0.1,True,0.2,True,0.0
27,True,0.5922851403055884,True,0.5413741478913441,True,0.4905997544261678,True,1.0,True,0.9,True,0.8
28,True,0.5922851403055884,True,0.5413741478913441,True,0.4905997544261678,True,0.9,True,0.8,True,0.6
29,True,0.5035994527909227,True,0.5346319017523109,True,0.557616625968816,True,0.3,True,0.4,True,0.6
