Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,0.0,True,0.8,True,0.6
1,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.3,True,0.9
2,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,0.6,True,0.8
3,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,0.0,True,0.3,True,0.6
4,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.9,True,1.0
5,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.6,True,0.5,True,0.7
6,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.5,True,0.5,True,0.8
7,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,0.2,True,0.9,True,0.9
8,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.5,True,0.6
9,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.8,True,0.8
10,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,0.6,True,0.4,True,0.5
11,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.65,True,0.6,True,0.3
12,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.3,True,0.5,True,0.8
13,True,0.33095291748752,True,0.5341233608300073,True,0.5341233608300073,True,0.0,True,0.2,True,0.1
14,True,0.5341233608300073,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,0.8,True,0.6
15,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,1.0,True,0.7
16,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,0.4,True,0.9,True,0.0
17,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.7,True,0.5,True,0.4
18,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.6,True,0.6,True,0.8
19,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.9,True,0.7
20,True,0.45613923502616943,True,0.5341233608300073,True,0.49902789774537026,True,0.2,True,0.6,True,0.3
21,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.8,True,0.3,True,0.5
22,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.8,True,1.0
23,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,1.0,True,1.0
24,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.0,True,0.6,True,0.1
25,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,1.0,True,0.5
26,True,0.5271435379598919,True,0.5155465228775322,True,0.5155465228775322,True,1.0,True,0.0,True,0.2
27,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.8,True,0.5,True,0.7
28,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.1,True,0.7,True,0.8
29,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.1,True,0.7,True,0.5
30,True,0.36864230073713355,True,0.5341233608300073,True,0.5341233608300073,True,0.0,True,0.7,True,0.7
31,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,0.6,True,0.2
32,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.2,True,0.5,True,0.3
33,True,0.5050641751316818,True,0.5341233608300073,True,0.5155465228775322,True,0.1,True,0.7,True,0.6
34,True,0.5050641751316818,True,0.31841401553591586,True,0.31841401553591586,True,0.9,True,0.5,True,0.4
35,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.3,True,0.6,True,0.8
36,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.5,True,0.5
37,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.8,True,0.4,True,0.5
38,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.4,True,0.4,True,0.6
39,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.0,True,0.7,True,0.6
40,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,1.0,True,0.9
41,True,0.45613923502616943,True,0.29768760466957633,True,0.29768760466957633,True,0.0,True,0.0,True,0.0
42,True,0.45613923502616943,True,0.5341233608300073,True,0.5341233608300073,True,0.3,True,0.8,True,0.6
43,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,0.6,True,0.6
44,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.1,True,0.2,True,0.1
45,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.1,True,0.3,True,0.4
46,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.1,True,0.1,True,0.3
47,True,0.5271435379598919,True,0.5341233608300073,True,0.5341233608300073,True,0.9,True,0.8,True,0.2
48,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,0.8,True,0.3,True,0.2
49,True,0.5050641751316818,True,0.5341233608300073,True,0.5341233608300073,True,1.0,True,0.8,True,0.6
50,False,0.5266892595880599,False,0.5451194157901572,False,0.5451194157901572,False,0.9,False,0.7,False,0.7
