Biomarker,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
BFRF3_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP0993_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rpsR_IgA,-0.027331561656803727,-0.027328540949554822,-0.027328540949554822,-0.02732878367043359,-0.027328540949554822,-0.027329571933221677,-0.027328826578575428,-0.027340062604021397,-0.027332464070258737,-0.027328540949554822,-0.02733055964047403,-0.027351484563385486,-0.027328540949554822,-0.027415658446272778,-0.02732975556552435,-0.027335666448056975,-0.02734573972509951,-0.027329490054039337,-0.027333155330622114,-0.027333783452357024,-0.027328540949554822,-0.027328540949554822,-0.02743978011239201,-0.027328540949554822,-0.027330650334870893,-0.027331509264241546,-0.02733518065696929,-0.027330263663533482,-0.027330690027855847,-0.027328540949554822,-0.02734314784495428,-0.027348968843089523,-0.027328540949554822,-0.027328540949554822,-0.027328540949554822,-0.027337290619950983,-0.0273297191416818,-0.027412084076673456,-0.02733767537538464,-0.027346226989118934,-0.027330523051200605,-0.027328540949554822,-0.02732936007192168,-0.027328540949554822,-0.027328540949554822,-0.027330360448784806,-0.027328540949554822,-0.02741065091359065,-0.027328540949554822,-0.027336430956725444,-0.027897393311724833,-0.027901761862802143,-0.02774840701930295,-0.027513075414478,-,-0.027877362654136723,-0.026667035301814968,-0.02797956445085609,-0.027897393311724833,-0.027843973103669976,-0.027897393311724833,-0.027897393311724833,-0.02624542349873181,-0.027902031506381503,-0.027810094743627427,-0.02784543873188455,-0.02787551186333994,-0.027810892215134053,-0.027897393311724833,-0.027897393311724833,-0.026876343302178692,-0.027897393311724833,-0.027564784017200236,-0.02718981161351748,-0.02790088592110588,-0.027765445149809904,-0.027770622138344008,-0.0272801919481432,-0.027900252584264505,-0.027796839494333005,-0.027897393311724833,-0.026890097584473232,-0.02905489909109476,-0.027897393311724833,-0.027706702821426107,-0.027748926370520743,-0.02789797949479253,-0.027897231708540828,-0.027470961703610585,-0.027699773120997823,-0.027897393311724833,-0.027865769833827974,-0.027458895675761485,-0.02780645040797229,-0.027514015503787723,-0.027897393311724833,-0.027728738663260685,-0.027897393311724833,-0.027890069326461327,-0.027898638451128863
porA_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP0386_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H. Pylori1_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1057_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1223_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1225_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rplO_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
