Biomarker,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
BFRF3_IgA,0.3158998995812901,0.3161216201701823,0.2977856221734838,0.29707090859761376,0.3152110357916441,0.29951929228080815,0.2993213268746644,0.2986297508876352,0.31880543535204264,0.299678397707306,0.3142927634060039,0.3153075424920677,0.29890541525759695,0.29452862460147805,0.3163149964773105,0.3154766165222116,0.3149164554353553,0.29920545525640224,0.31651872314645285,0.31606850643148926,0.29799467460981544,0.31613204224636,0.3089157574505961,0.30008784232283064,0.29850471677448165,0.29899560871579267,0.31124776539583116,0.31390752443195225,0.3159770746788773,0.2980198928554109,0.29779853373491444,0.3161364483440222,0.29917661459796796,0.29840269369989375,0.3159855003116067,0.2962448466075412,0.2988190853627957,0.31650120092302614,0.31704679673845493,0.31453551963317106,0.31499896143899525,0.29758047604856297,0.2985239622272206,0.3155886582699782,0.2983104221370888,0.2987563586590371,0.2997616502723189,0.2968243134362135,0.3150775424895137,0.29953720023278857,0.3209221571812626,0.3015885327571594,0.30044266668296576,0.30031581654614925,0.30043200293813965,0.3025194514204259,0.30116202203240927,0.30096758527730033,0.3012545911037983,0.30172415457256113,0.3026360788598517,0.32209250303225595,0.30162766168319655,0.3027684429278207,0.3025878236557999,0.3214565598230598,0.32082293739400314,0.30092576933599957,0.301070785390971,0.3220201857136963,0.3014417984662807,0.3029731957465211,0.3029498745634462,0.3012567698201458,0.3208206018829352,0.30079918596649324,0.30275663844555534,0.3028328388227357,0.3001043588984862,0.3042838600910921,0.3021959893668952,0.3047354198455038,0.3081806033857337,0.3010419469349813,0.30071258480194635,0.30114598129576525,0.3029340914203709,0.3212458904297063,0.3226715411580227,0.30622204034858685,0.30217047044621753,0.30042395401080507,0.30106841268052476,0.30059999818793554,0.3018548149689961,0.3200166969636164,0.3022159269170764,0.3015349542562632,0.3023446425496217,0.3225102632804701
HP0993_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rpsR_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1578147288726741,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
porA_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP0386_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H. Pylori1_IgA,0.1815122705319028,0.18211963149334343,0.16732514979279506,0.18244343107894279,0.17879557936101825,0.17979383355687886,0.18211617497699373,0.16343906228574645,0.18000364752442535,0.1799444585086146,0.16677674185625027,0.16397195943579446,0.17952949770570217,-,0.1790115646476979,0.17983657795506844,0.1803090698626965,0.17939497560781192,0.18061744478562167,0.18174620301989172,0.17777590391344605,0.17959071402897842,-,0.17993549412984372,0.17940004368133777,0.1791176180137569,0.18207708402910067,0.18234885098180953,0.18181550792994652,0.18181106018760113,0.17935756745740167,0.1800051254200054,0.17899377041890238,0.17756141494191585,0.18106336488173516,0.18260689744504627,0.180957306304924,0.16276124174027823,0.1793643234965644,0.18340716376698152,0.18038490234007706,0.18100421456314744,0.18098307105027253,0.18172470499604346,0.1813943552669419,0.18028886488313384,0.17614539368147883,0.16652727238691134,0.17952826841385364,0.18005644812779825,0.1792170715468065,0.1769180448696543,0.17875945296015872,0.18023101228744776,0.17755883400264816,0.1769292729958013,0.17920460252768605,0.17787128313280962,0.1788144115157771,0.17831185050018256,0.17841003306345563,0.17784184259445335,0.17887868650605565,0.17674890196294302,0.17852535551297102,0.1793381895732596,0.18002901687947856,0.17924254194345035,0.17838015028912063,0.17737577794344045,0.17984291630717936,0.177462699751681,0.18096913900948813,0.17965474689890673,0.18049743874812635,0.17802502193725378,0.1779446740016446,0.17687200097219305,0.1787972435799342,0.1971107968678735,0.1781436229319755,0.17648670946434097,0.19124040775892848,0.1778228676245724,0.1792339488959397,0.17759112266874663,0.1743303526421977,0.17839379388172366,0.17706028452632616,0.17425585205531471,0.18022345460042266,0.1791458111223366,0.1785949975380061,0.17901104227742207,0.18161491791910703,0.17931605660660113,0.17740062092210662,0.17798971625266893,0.17674669288519138,0.17635177192020515
HP1057_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1223_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP1225_IgA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rplO_IgA,-,0.15408568325236663,-,-,0.15046288630863244,0.15142868640163434,0.15499213895559602,-,0.15103662735337353,0.15090235873000943,-,-,0.1516906711274255,-,0.15051832283021654,-,0.15353274185502375,-,-,-,-,0.1521539848543461,-,0.15082695127930096,-,-,-,-,0.15445441379821395,-,-,0.15338261010694462,0.15104866040015477,-,-,-,0.15412240786846007,0.15048303581090963,0.1504184086929741,-,-,-,0.15317243974330083,0.15519527888090487,-,0.152466462856903,-,-,0.15099543854545294,0.15212546260253976,-,-,-,-,-,0.15104040011985295,-,-,-,-,-,-,-,0.15212498160674287,0.15553103994630718,-,-,-,-,0.15222035684172971,-,0.15289361429224121,0.1583874328910853,-,-,-,-,-,-,0.15044006266635937,-,0.150189403918745,0.14613286902707967,-,-,-,0.14956641972201817,-,0.15117116236641637,0.14669770290928474,-,-,-,-,-,-,-,-,-,-
